DIRECCION, TIPOID, ID, RELACIONUNIANDES
 61685 West Argentina Blvd.,cc,0,padre
 86049 East Bozeman St.,ti,1,profesor
 86245 North Beloit Way,ti,2,empleado
 39284 South Palestinian Territory, Occupied Way,cc,3,empleado
 45844 West Nashville Way,cedula de extrangeria,4,empleado
 22105  Fort Collins Way,cc,5,empleado
 10518  Cambodia Ct.,pasaporte,6,egresado
 92086 North Durham Way,cedula de extrangeria,7,empleado
 40283 East Bahrain Ln.,ti,8,profesor
 91963 North Tokelau Ct.,cc,9,profesor
 66511 West Grenada Blvd.,pasaporte,10,profesor
 10449 East Ogdensburg Ct.,ti,11,estudiante
 2572 North Moldova Ct.,pasaporte,12,padre
 93234 East Australia Ln.,ti,13,empleado
 23880 West Andorra Ct.,pasaporte,14,estudiante
 56238 East Cocos Keeling Islands Ct.,cedula de extrangeria,15,empleado
 86403 South Burlington Ave.,cedula de extrangeria,16,profesor
 82915 North Andorra Way,cc,17,empleado
 62376 West Honduras Ln.,cc,18,empleado
 33395 West Anguilla Way,pasaporte,19,estudiante
 55865 North Bahamas St.,pasaporte,20,padre
 88058 West Deadwood Ct.,pasaporte,21,profesor
 70911  Biloxi Ct.,ti,22,egresado
 95885 East Guánica Ave.,cedula de extrangeria,23,profesor
 12175 North Congo Ct.,cedula de extrangeria,24,profesor
 68144 South Lesotho Ave.,cedula de extrangeria,25,empleado
 99664 East Grand Rapids Way,cedula de extrangeria,26,profesor
 35710  Malta Ct.,pasaporte,27,empleado
 31945 West Trinidad and Tobago Ct.,cedula de extrangeria,28,profesor
 637 North Denmark Ct.,cedula de extrangeria,29,padre
 81330 West Western Sahara Blvd.,cedula de extrangeria,30,profesor
 43855 South Christmas Island Ln.,pasaporte,31,padre
 36561 West Bahrain Ave.,ti,32,empleado
 86764 North Bradford Ct.,cc,33,empleado
 88065 East Azerbaijan St.,ti,34,estudiante
 23983 North Bouvet Island Ave.,cc,35,profesor
 3817 South Gibraltar Ln.,ti,36,estudiante
 34759  Fayetteville Ct.,cedula de extrangeria,37,estudiante
 16984 North Honduras St.,pasaporte,38,estudiante
 39291 South Greenland Way,cedula de extrangeria,39,egresado
 12375  Cameroon Blvd.,cc,40,egresado
 84039  Yemen Ct.,ti,41,empleado
 62483 North East Lansing Blvd.,pasaporte,42,profesor
 52318 East Ecuador Ct.,pasaporte,43,estudiante
 17224 West Afghanistan Blvd.,cc,44,padre
 11087 South Cape Coral St.,cedula de extrangeria,45,egresado
 33301 West Tuvalu Way,cc,46,estudiante
 73017 West Chattanooga Way,cc,47,padre
 90669 North Turkmenistan Ln.,cc,48,estudiante
 85041 North Annapolis Ave.,cedula de extrangeria,49,empleado
 6401 West Australia Way,pasaporte,50,empleado
 43174  Dominican Republic St.,ti,51,profesor
 26128 South Australia Ave.,cedula de extrangeria,52,estudiante
 47807 West Abilene St.,pasaporte,53,empleado
 19858 South Qatar Ave.,cedula de extrangeria,54,padre
 32106 East Chad St.,ti,55,padre
 9112 South Bahrain St.,cedula de extrangeria,56,empleado
 33239  Turkey Way,cedula de extrangeria,57,profesor
 72882 West Bangladesh Blvd.,pasaporte,58,empleado
 91714 East Netherlands Antilles St.,pasaporte,59,padre
 62425 West Carson City Way,cedula de extrangeria,60,profesor
 62493 East Bahrain Way,ti,61,profesor
 46880 South French Southern Territories Ave.,cc,62,estudiante
 78955 East Mexico Ct.,cedula de extrangeria,63,empleado
 16791 East Hudson Ct.,cc,64,empleado
 21587 West Pakistan Ave.,cedula de extrangeria,65,padre
 73765 South Pitcairn Blvd.,ti,66,profesor
 52446 South Iraq Ct.,ti,67,egresado
 31970 West Lesotho Ln.,cc,68,egresado
 39155  Singapore Ln.,ti,69,egresado
 10037  Binghamton Ct.,cedula de extrangeria,70,estudiante
 97785 East Dallas Way,cc,71,padre
 84958 South Barbados Blvd.,pasaporte,72,padre
 94670  Catskill Ln.,ti,73,profesor
 78943 East Nicaragua Blvd.,cedula de extrangeria,74,padre
 61292 South Saudi Arabia St.,cedula de extrangeria,75,profesor
 75799 West Seychelles Way,ti,76,empleado
 48289 North El Salvador Ave.,cedula de extrangeria,77,egresado
 84398 South Florence Ave.,cedula de extrangeria,78,profesor
 73152 West Kyrgyzstan Ave.,cedula de extrangeria,79,egresado
 3541  Uruguay Ave.,ti,80,profesor
 51345  Saint Pierre and Miquelon Ln.,ti,81,padre
 74751  Bhutan Ln.,cc,82,profesor
 65561  Barbados Way,pasaporte,83,padre
 6099  Italy Ave.,ti,84,estudiante
 38283 East Israel Way,ti,85,padre
 3983 West Cameroon Ln.,cc,86,empleado
 53790 East Bangladesh Ave.,cc,87,padre
 49682 South Luxembourg Ct.,cc,88,profesor
 28063 North Frederiksted Way,cc,89,estudiante
 91102 North Saudi Arabia Way,cedula de extrangeria,90,empleado
 30167 East Albania Blvd.,cc,91,profesor
 77416 South Sudan Blvd.,cc,92,profesor
 57784 East Korea, Republic of Ave.,cc,93,estudiante
 7103 West Armenia St.,pasaporte,94,estudiante
 24575 East Chad St.,cc,95,profesor
 64599 North Gabon St.,pasaporte,96,egresado
 97184 West Ada Blvd.,pasaporte,97,empleado
 45597 South Marshall Islands Ln.,cc,98,estudiante
 21481 South Asheville Ave.,ti,99,estudiante
 7394 North Saint Helena Ct.,ti,100,profesor
 26316 East Cortland Blvd.,pasaporte,101,egresado
 6833 East Bouvet Island Blvd.,cc,102,profesor
 57171 West Edmond Blvd.,cc,103,padre
 61057  Botswana Way,cc,104,profesor
 54781 North Albania Ct.,ti,105,profesor
 66179 West Austria Ave.,ti,106,estudiante
 20800 East Indonesia Ct.,pasaporte,107,empleado
 18753 East Monaco Ave.,ti,108,egresado
 77974  Estonia Ave.,pasaporte,109,egresado
 30761 West Spain St.,cc,110,estudiante
 42531 West Albania Way,ti,111,padre
 76958 South Brownsville Blvd.,ti,112,estudiante
 87725 South Heard Island and Mcdonald Islands Way,pasaporte,113,padre
 50860 North United States Minor Outlying Islands Ave.,cedula de extrangeria,114,empleado
 31489 West Bosnia and Herzegovina Ct.,cc,115,padre
 69263 South Danville Ave.,pasaporte,116,empleado
 27616 West Brunei Darussalam Ave.,pasaporte,117,padre
 42956 West Burundi Way,ti,118,egresado
 58283 South Bermuda Ln.,cc,119,profesor
 33134 West Clairton Blvd.,pasaporte,120,estudiante
 50165 South Cohoes Way,pasaporte,121,empleado
 65740 South Romania Ln.,ti,122,profesor
 90812 South Solomon Islands Blvd.,ti,123,padre
 5261 North Bhutan St.,ti,124,empleado
 58786 South Uzbekistan Ln.,cc,125,empleado
 91408 West Finland Blvd.,cedula de extrangeria,126,empleado
 61266 East Bethlehem Blvd.,pasaporte,127,egresado
 15981  Romania Ave.,cedula de extrangeria,128,empleado
